DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
DINGO RIDGE,"Zinc, Silver, Lead",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,,140.9007841,-32.4119086,near hole DRC-01
RAGLESS RANGE,"Zinc, Copper",Low Significance,ADELAIDE GEOSYNCLINE,Wilkawillina Limestone,Wilkawillina Limestone,138.0819855,-32.1408164,
GREENS,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Kirwan Siltstone,Waraco Limestone,138.6335734,-31.9095045,
HIGHWAY,"Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,137.1187126,-32.7481074,near hole HW015
TWO MILE RIDGE,"Zinc, Silver, Lead",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,,140.9130161,-32.4101136,near hole TMRC-01
MOOROWIE,"Copper, Zinc",Low Significance,ARROWIE BASIN (ADELAIDE GEOSYNCLINE),Wilkawillina Limestone,Wilkawillina Limestone,139.2737844,-30.9801275,
HUNTERS DAM NORTH,Zinc,Low Significance,CURNAMONA PROVINCE,Bimba Formation,,140.8118071,-31.6236815,near hole HDD18
SOUTHWESTERN GOSSANS,"Lead, Silver, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Parachilna Formation,138.1308665,-30.8213524,shaft?
OAKDALE,"Graphite, Zinc",Locally Significant,COULTA SUBDOMAIN (GAWLER CRATON),Hall Bay Volcanics,Hall Bay Volcanics,135.5131868,-33.8036024,near hole BLD02
AVONDALE,"Lead, Silver, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Myrtle Springs Formation,138.5348635,-30.2136444,middle lode
SALTBUSH FLAT,"Gold, Silver, Lead, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation,139.2569093,-31.9362765,
GREAT NORTHERN EAST,"Lead, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,breccia unit 1,Tapley Hill Formation,139.2180564,-30.6649315,near hole YRDH004
CORUNNA,"Lead, Silver, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),quartz vein,Hutchison Group,136.9888546,-32.6190154,hole COAC017
HAYLANDS,"Gold, Copper, Zinc",Locally Significant,MURRAY BASIN BASEMENT,quartz vein unit 3,Kanmantoo Group,139.6211891,-34.1153895,near DEL10ACD001
HORSESHOE RIDGE,Zinc,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Bimba Formation,,140.9240821,-32.4030846,near hole HD 1
BURTA TANK,"Zinc, Silver, Lead",Low Significance,CURNAMONA PROVINCE,Broken Hill Group,Broken Hill Group,140.9457551,-32.4357306,
ROUNDHILL,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Broken Hill Group,Broken Hill Group,140.7587181,-32.3661596,near hole 06RCBH04
BLUE DAM,Zinc,Low Significance,CURNAMONA PROVINCE,Bimba Formation,Willyama Complex,140.3477772,-32.0850865,near DDH BDD1
OOLOO SOUTH,"Lead, Silver, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,Billy Springs Formation,,139.2365335,-29.7930485,workings
SUNDOWN,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wilkawillina Limestone,138.4300075,-30.6837864,
MAFEKING,"Zinc, Lead",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Tarcowie Siltstone,139.4269882,-32.9417195,near MZP 5
ALDERMANS DAM,"Copper, Lead, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Benda Siltstone,140.5867241,-32.5547945,near hole MRB252
